Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
207,0.0,0.0,0.0,0.0,30758.742,6470.513999999996
208,0.0,0.0,0.0,0.0,30758.742,6089.611000000001
209,0.0,0.0,0.0,0.0,30758.742,5906.6108
210,0.0,0.0,0.0,0.0,30758.742,3893.3989999999976
211,0.0,0.0,0.0,0.0,30758.742,3157.8789
212,0.0,0.0,0.0,0.0,30758.742,3650.6810000000005
213,0.0,0.0,0.0,0.0,30758.742,4320.8427
214,0.0,0.0,0.0,0.0,30758.742,5437.531999999999
215,0.0,0.0,0.0,0.0,30758.742,7189.852999999999
216,0.0,0.0,0.0,0.0,30758.742,8988.484000000004
217,0.0,0.0,0.0,0.0,30758.742,10250.284
218,0.0,0.0,0.0,0.0,30758.742,11062.983
219,0.0,0.0,0.0,0.0,30758.742,11467.949999999997
220,0.0,0.0,0.0,0.0,30758.742,11497.735
221,0.0,0.0,0.0,0.0,30758.742,10963.706000000006
222,0.0,0.0,0.0,0.0,30758.742,9134.0893
223,0.0,0.0,0.0,0.0,30758.742,6332.5580000000045
224,0.0,0.0,0.0,0.0,30758.742,4964.8060000000005
225,0.0,0.0,0.0,0.0,30758.742,4998.6187
226,0.0,0.0,0.0,0.0,30758.742,5501.6029999999955
227,0.0,0.0,0.0,0.0,30758.742,6470.725999999999
228,0.0,0.0,0.0,0.0,30758.742,7293.522000000001
229,0.0,0.0,0.0,0.0,30758.742,7808.131500000001
230,0.0,0.0,0.0,0.0,30758.742,7812.889999999999
231,0.0,0.0,0.0,0.0,30758.742,7491.853999999996
232,0.0,0.0,0.0,0.0,30758.742,6952.777999999998
233,0.0,0.0,0.0,0.0,30758.742,6196.4869
234,0.0,0.0,0.0,0.0,30758.742,4238.983999999997
235,0.0,0.0,0.0,0.0,30758.742,3547.181999999999
236,0.0,0.0,0.0,0.0,30758.742,3692.5200000000004
237,0.0,0.0,0.0,0.0,30758.742,4102.148999999999
238,0.0,0.0,0.0,0.0,30758.742,5275.178
239,0.0,0.0,0.0,0.0,30758.742,6989.309999999998
240,0.0,0.0,0.0,0.0,30758.742,8807.111999999994
241,0.0,0.0,0.0,0.0,30758.742,9902.122
242,0.0,0.0,0.0,0.0,30758.742,10758.960000000006
243,0.0,0.0,0.0,0.0,30758.742,11300.167000000001
244,0.0,0.0,0.0,0.0,30758.742,11369.670999999995
245,0.0,0.0,0.0,0.0,30758.742,10641.644
246,0.0,0.0,0.0,0.0,30758.742,9019.479000000003
247,0.0,0.0,0.0,0.0,30758.742,6136.1634
248,0.0,0.0,0.0,0.0,30758.742,4913.856
249,0.0,0.0,0.0,0.0,30758.742,4613.573
250,0.0,0.0,0.0,0.0,30758.742,4681.3363
251,0.0,0.0,0.0,0.0,30758.742,5411.917999999998
252,0.0,0.0,0.0,0.0,30758.742,6421.348999999998
253,0.0,0.0,0.0,0.0,30758.742,6905.377999999997
254,0.0,0.0,0.0,0.0,30758.742,7019.388200000001
255,0.0,0.0,0.0,0.0,30758.742,6861.144
256,0.0,0.0,0.0,0.0,30758.742,6776.188000000002
257,0.0,0.0,0.0,0.0,30758.742,5688.9357
258,0.0,0.0,0.0,0.0,30758.742,3754.403999999995
259,0.0,0.0,0.0,0.0,30758.742,3556.7749999999996
260,0.0,0.0,0.0,0.0,30758.742,3893.6950000000015
261,0.0,0.0,0.0,0.0,30758.742,4455.182999999999
262,0.0,0.0,0.0,0.0,30758.742,5548.858
263,0.0,0.0,0.0,0.0,30758.742,7112.856
264,0.0,0.0,0.0,0.0,30758.742,8882.355
265,0.0,0.0,0.0,0.0,30758.742,10219.119999999995
266,0.0,0.0,0.0,0.0,30758.742,11143.460000000006
267,0.0,0.0,0.0,0.0,30758.742,11709.053
268,0.0,0.0,0.0,0.0,30758.742,12073.543000000005
269,0.0,0.0,0.0,0.0,30758.742,11937.107000000004
270,0.0,0.0,0.0,0.0,30758.742,11315.707999999999
271,0.0,0.0,0.0,0.0,30758.742,10228.577000000001
272,0.0,0.0,0.0,0.0,30758.742,9481.063999999998
273,0.0,0.0,0.0,0.0,30758.742,8323.109999999997
274,0.0,0.0,0.0,0.0,30758.742,8125.948
275,0.0,0.0,0.0,0.0,30758.742,8695.111999999994
276,0.0,0.0,0.0,0.0,30758.742,9324.059999999998
277,0.0,0.0,0.0,0.0,30758.742,9846.068
278,0.0,0.0,0.0,0.0,30758.742,10214.004999999997
279,0.0,0.0,0.0,0.0,30758.742,10336.443999999996
280,0.0,0.0,0.0,0.0,30758.742,10163.07621
281,0.0,0.0,0.0,0.0,30758.742,9043.75
282,0.0,0.0,0.0,0.0,30758.742,6556.4360000000015
283,0.0,0.0,0.0,0.0,30758.742,6093.226000000002
284,0.0,0.0,0.0,0.0,30758.742,6261.6676
285,0.0,0.0,0.0,0.0,30758.742,6521.7880000000005
286,0.0,0.0,0.0,0.0,30758.742,7015.818000000003
287,0.0,0.0,0.0,0.0,30758.742,8266.157
288,0.0,0.0,0.0,0.0,30758.742,9683.212
289,0.0,0.0,0.0,0.0,30758.742,10667.729999999996
290,0.0,0.0,0.0,0.0,30758.742,11633.737999999998
291,0.0,0.0,0.0,0.0,30758.742,12197.93
292,0.0,0.0,0.0,0.0,30758.742,12465.657999999996
293,0.0,0.0,0.0,0.0,30758.742,12516.127999999997
294,0.0,0.0,0.0,0.0,30758.742,12129.017999999996
295,0.0,0.0,0.0,0.0,30758.742,11198.542000000001
296,0.0,0.0,0.0,0.0,30758.742,10488.728
297,0.0,0.0,0.0,0.0,30758.742,10344.212
298,0.0,0.0,0.0,0.0,30758.742,10917.884999999995
299,0.0,0.0,0.0,0.0,30758.742,11412.532000000007
300,0.0,0.0,0.0,0.0,30758.742,11709.789000000004
301,0.0,0.0,0.0,0.0,30758.742,11258.261999999995
302,0.0,0.0,0.0,0.0,30758.742,10802.410000000003
303,0.0,0.0,0.0,0.0,30758.742,10435.739000000001
304,0.0,0.0,0.0,0.0,30758.742,9543.9846
305,0.0,0.0,0.0,0.0,30758.742,8452.857999999993
306,0.0,0.0,0.0,0.0,30758.742,6003.786
307,0.0,0.0,0.0,0.0,30758.742,5380.769
308,0.0,0.0,0.0,0.0,30758.742,5464.743999999999
309,0.0,0.0,0.0,0.0,30758.742,5823.421999999999
310,0.0,0.0,0.0,0.0,30758.742,6951.303
311,0.0,0.0,0.0,0.0,30758.742,8729.619999999995
312,0.0,0.0,0.0,0.0,30758.742,10267.972999999998
313,0.0,0.0,0.0,0.0,30758.742,11381.046000000002
314,0.0,0.0,0.0,0.0,30758.742,12174.050000000003
315,0.0,0.0,0.0,0.0,30758.742,12563.101999999999
316,0.0,0.0,0.0,0.0,30758.742,12480.190000000002
317,0.0,0.0,0.0,0.0,30758.742,11710.984999999993
318,0.0,0.0,0.0,0.0,30758.742,9732.524000000005
319,0.0,0.0,0.0,0.0,30758.742,7066.5248
320,0.0,0.0,0.0,0.0,30758.742,4972.993999999999
321,0.0,0.0,0.0,0.0,30758.742,4226.628000000001
322,0.0,0.0,0.0,0.0,30758.742,3724.8847
323,0.0,0.0,0.0,0.0,30758.742,3477.0509999999995
324,0.0,0.0,0.0,0.0,30758.742,3696.7069999999985
325,0.0,0.0,0.0,0.0,30758.742,3889.2740000000013
326,0.0,0.0,0.0,0.0,30758.742,4171.467999999999
327,0.0,0.0,0.0,0.0,30758.742,3989.2875
